	accession	species	accession_short	cluster	genus	taxname	biosample	voucher	location	latlong	identifier	paper
1961	MZ610423.1	Molophilus flavus	MZ610423	Cluster 170	Molophilus	mitochondrion Molophilus flavus		JES-20110300	Finland	67.8205 N 25.9192 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1962	MZ610410.1	Molophilus sp.	MZ610410	Cluster 588	Molophilus	mitochondrion Molophilus sp. PII-20110066		PII-20110066	Finland	60.491 N 22.302 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1963	MZ610403.1	Symplecta scotica	MZ610403	Cluster 171	Symplecta	mitochondrion Symplecta scotica		JES-20120007	Finland	64.4769 N 27.5364 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1969	MZ610084.1	Molophilus propinquus	MZ610084	Cluster 175	Molophilus	mitochondrion Molophilus propinquus		JES-20110372	Finland	69.8424 N 27.8508 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1972	MZ609915.1	Erioptera lutea	MZ609915	Cluster 721	Erioptera	mitochondrion Erioptera lutea		PII-20110053	Finland	60.491 N 22.302 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1973	MZ609866.1	Cheilotrichia areolata	MZ609866	Cluster 178	Cheilotrichia	mitochondrion Cheilotrichia areolata		JES-20110348	Finland	69.8737 N 27.9169 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1980	MZ609603.1	Molophilus crassipygus	MZ609603	Cluster 692	Molophilus	mitochondrion Molophilus crassipygus		PII-20110038	Finland	60.491 N 22.302 E	Valerie Levesque-Beaudin	A molecular-based identification resource for the arthropods of Finland
1985	MZ609423.1	Symplecta chosenensis	MZ609423	Cluster 184	Symplecta	mitochondrion Symplecta chosenensis		JES-20120021	Finland	60.5477 N 25.1708 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2058	MZ628909.1	Erioconopa trivialis	MZ628909	Cluster 224	Erioconopa	mitochondrion Erioconopa trivialis		JES-20110207	Finland	63.515 N 26.675 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2059	MZ628888.1	Scleroprocta pentagonalis	MZ628888	Cluster 225	Scleroprocta	mitochondrion Scleroprocta pentagonalis		JES-20120104	Finland	65.3261 N 27.8382 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2067	MZ628624.1	Erioconopa diuturna	MZ628624	Cluster 228	Erioconopa	mitochondrion Erioconopa diuturna		JES-20120534	Finland	62.464 N 26.176 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2088	MZ628130.1	Symplecta pilipes	MZ628130	Cluster 237	Symplecta	mitochondrion Symplecta pilipes		JES-20110444	Finland	60.24 N 21.963 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2092	MZ628071.1	Symplecta stictica	MZ628071	Cluster 239	Symplecta	mitochondrion Symplecta stictica		JES-20110196	Finland	60.167 N 20.026 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2102	MZ627884.1	Erioptera beckeri	MZ627884	Cluster 241	Erioptera	mitochondrion Erioptera beckeri		JES-20120324	Finland	63.897 N 26.821 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2114	MZ627716.1	Molophilus bihamatus	MZ627716	Cluster 248	Molophilus	mitochondrion Molophilus bihamatus		JES-20120226	Finland	61.501 N 23.708 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2132	MZ627149.1	Symplecta meigeni	MZ627149	Cluster 253	Symplecta	mitochondrion Symplecta meigeni		JES-20110037	Finland	68.68 N 22.772 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2141	MZ626981.1	Erioptera divisa	MZ626981	Cluster 256	Erioptera	mitochondrion Erioptera divisa		JES-20120339	Finland	62.332 N 28.613 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2147	MZ626816.1	Symplecta lindrothi	MZ626816	Cluster 257	Symplecta	mitochondrion Symplecta lindrothi		JES-20110148	Finland	62.074 N 22.491 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2155	MZ626662.1	Molophilus corniger	MZ626662	Cluster 261	Molophilus	mitochondrion Molophilus corniger		JES-20120132	Finland	62.072 N 24.336 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2164	MZ626390.1	Molophilus griseus	MZ626390	Cluster 263	Molophilus	mitochondrion Molophilus griseus		JES-20120313	Finland	60.492 N 22.302 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2229	MZ625002.1	Scleroprocta sororcula	MZ625002	Cluster 277	Scleroprocta	mitochondrion Scleroprocta sororcula		JES-20120143	Finland	62.199 N 22.456 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2239	MZ624757.1	Molophilus pullus	MZ624757	Cluster 280	Molophilus	mitochondrion Molophilus pullus		JES-20110463	Finland	60.492 N 22.302 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2275	MZ624182.1	Molophilus bifidus	MZ624182	Cluster 289	Molophilus	mitochondrion Molophilus bifidus		JES-20120115	Finland	67.6541 N 25.774 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
2328	MZ196908.1	Symplecta pilipes	MZ196908	Cluster 300	Symplecta	mitochondrion Symplecta pilipes		INV10310	Portugal	41.4691 N 6.8508 W	Jaroslav Stary	The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 02 - Limoniidae, Pediciidae and Tipulidae
2356	MZ196840.1	Symplecta stictica	MZ196840	Cluster 308	Symplecta	mitochondrion Symplecta stictica		INV08125	Portugal		Pjotr Oosterbroek	The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 02 - Limoniidae, Pediciidae and Tipulidae
2357	MZ196837.1	Molophilus baezi	MZ196837	Cluster 309	Molophilus	mitochondrion Molophilus baezi		INV08355	Portugal		Pjotr Oosterbroek	The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 02 - Limoniidae, Pediciidae and Tipulidae
2454	MZ196640.1	Molophilus flavus	MZ196640	Cluster 324	Molophilus	mitochondrion Molophilus flavus		INV06375	Portugal	41.9052 N 6.7757 W	Jaroslav Stary	The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 02 - Limoniidae, Pediciidae and Tipulidae
2458	MZ196632.1	Erioptera fuscipennis	MZ196632	Cluster 325	Erioptera	mitochondrion Erioptera fuscipennis		INV08142	Portugal	37.32 N 8.53 W	Pjotr Oosterbroek	The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 02 - Limoniidae, Pediciidae and Tipulidae
2469	MZ196613.1	Erioconopa diuturna	MZ196613	Cluster 327	Erioconopa	mitochondrion Erioconopa diuturna		INV06209	Portugal	41.3411 N 8.6923 W	Pjotr Oosterbroek	The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 02 - Limoniidae, Pediciidae and Tipulidae
2561	MN676660.1	Limoniidae sp.	MN676660	Cluster 547	Limoniidae	mitochondrion Limoniidae sp. BOLD:ACR7440		CHARS00047-F05	Canada	69.132 N 105.063 W	Kate Perez	ARCBIO project: monitoring Arctic arthropods through DNA JOURNAL   Unpublished
2563	MW051389.1	Molophilus pulchripes	MW051389	Cluster 332	Molophilus	mitochondrion Molophilus pulchripes		BAR11Tip1				Using unsorted sweep net samples to rapidly assess macroinvertebrate biodiversity
2581	MN675091.1	Limoniidae sp.	MN675091	Cluster 544	Limoniidae	mitochondrion Limoniidae sp. BOLD:ACR6300		CHARS00162-A06	Canada	69.1323 N 105.062 W	Kate Perez	A DNA Barcoding Survey of an Arctic Arthropod Community: Implications for Future Monitoring
2620	MK308530.1	Molophilus fergusonianus	MK308530	Cluster 333	Molophilus	mitochondrion Molophilus fergusonianus		T2201	Australia	34.631 S 150.836 E	Zac D Billingham	The genus Rhabdomastix Skuse in Australia (Diptera: Tipuloidea: Limoniidae)
2624	MK308526.1	Symplecta pilipes	MK308526	Cluster 337	Symplecta	mitochondrion Symplecta pilipes pilipes		T2246	Australia	30.878 S 153.071 E	Zac D Billingham	The genus Rhabdomastix Skuse in Australia (Diptera: Tipuloidea: Limoniidae)
2642	JF872265.1	Symplecta cana	JF872265	Cluster 345	Symplecta	mitochondrion Symplecta cana		BIOUG<CAN>:10BBDIP-0774	USA	30.2889 N 87.475 W		iBOL Data Release JOURNAL   Unpublished
2643	JF872061.1	Limoniidae sp.	JF872061	Cluster 346	Limoniidae	mitochondrion Limoniidae sp. BOLD:AAP2733		BIOUG<CAN>:10BBDIP-2205	USA	34.75 N 112.004 W		iBOL Data Release JOURNAL   Unpublished
2650	JF871258.1	Erioptera parva	JF871258	Cluster 349	Erioptera	mitochondrion Erioptera parva		BIOUG<CAN>:10BBDIP-1376	USA	27.6665 N 82.3795 W		iBOL Data Release JOURNAL   Unpublished
2653	JF871228.1	Limoniidae sp.	JF871228	Cluster 350	Limoniidae	mitochondrion Limoniidae sp. BOLD:AAP2732		BIOUG<CAN>:10BBDIP-1346	USA	34.75 N 112.004 W		iBOL Data Release JOURNAL   Unpublished
2684	HM433885.1	Chioneinae sp.	HM433885	Cluster 362	Chioneinae	mitochondrion Chioneinae sp. BOLD:AAG7013		BIOUG<CAN>:09BBDIP-0190	USA	34.6093 N 112.437 W		iBOL Data Release JOURNAL   Unpublished
2787	KR395172.1	Limoniidae sp.	KR395172	Cluster 638	Limoniidae	mitochondrion Limoniidae sp. BOLD:ACL7813	PRJNA472144	BIOUG10348-C08	Canada	49.5686 N 57.8302 W	Valerie Levesque-Beaudin	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3248	KR398716.1	Molophilus fultonensis	KR398716	Cluster 616	Molophilus	mitochondrion Molophilus fultonensis	PRJNA472144	BIOUG10343-F01	Canada	49.5686 N 57.8302 W	Angela Telfer	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3325	KR397575.1	Chioneinae sp.	KR397575	Cluster 592	Chioneinae	mitochondrion Chioneinae sp. BOLD:ACL4711	PRJNA472144	BIOUG12366-C01	Canada	48.857 N 64.376 W	Monica R. Young	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3390	KR396784.1	Molophilus pubipennis	KR396784	Cluster 709	Molophilus	mitochondrion Molophilus pubipennis	PRJNA472144	BIOUG11962-E07	Canada	46.7707 N 65.0064 W	Angela Telfer	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3400	KR396516.1	Molophilus sp.	KR396516	Cluster 608	Molophilus	mitochondrion Molophilus sp. BOLD:ACL6243	PRJNA472144	BIOUG12436-A10	Canada	48.857 N 64.376 W	Monica R. Young	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3568	KR390099.1	Limoniidae sp.	KR390099	Cluster 655	Limoniidae	mitochondrion Limoniidae sp. BOLD:AAF8972	PRJNA472144	BIOUG11182-D08	Canada	48.857 N 64.376 W	Valerie Levesque-Beaudin	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3679	KR388269.1	Limoniidae sp.	KR388269	Cluster 636	Limoniidae	mitochondrion Limoniidae sp. BOLD:ACL7691	PRJNA472144	BIOUG10587-F09	Canada	49.5686 N 57.8302 W	Angela Telfer	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3695	KR388025.1	Limoniidae sp.	KR388025	Cluster 731	Limoniidae	mitochondrion Limoniidae sp. BOLD:AAF8972	PRJNA472144	BIOUG12246-F11	Canada	44.4066 N 65.2455 W	Angela Telfer	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3860	KR385566.1	Molophilus forcipulus	KR385566	Cluster 701	Molophilus	mitochondrion Molophilus forcipulus	PRJNA472144	BIOUG09938-A06	Canada	46.6553 N 60.4285 W	Angela Telfer	Barcoding Canada Data Release - 2013 JOURNAL   Unpublished
3873	KP043926.1	Erioptera sp.	KP043926	Cluster 367	Erioptera	mitochondrion Erioptera sp. BOLD:ABW8835	PRJNA472144	BIOUG03378-B11	Canada	49.106 N 113.819 W		Barcoding Canada Data Release JOURNAL   Unpublished
3897	KM946736.1	Limoniidae sp.	KM946736	Cluster 369	Limoniidae	mitochondrion Limoniidae sp. BOLD:ACC5364	PRJNA472144	BIOUG03940-D04	Canada	51.407 N 116.154 W		Barcoding Canada Data Release JOURNAL   Unpublished
3900	KM946219.1	Erioptera sp.	KM946219	Cluster 371	Erioptera	mitochondrion Erioptera sp. BOLD:ACC6073	PRJNA472144	BIOUG03986-H02	Canada	51.407 N 116.154 W		Barcoding Canada Data Release JOURNAL   Unpublished
3916	KM943839.1	Chioneinae sp.	KM943839	Cluster 613	Chioneinae	mitochondrion Chioneinae sp. BOLD:ABA4103	PRJNA472144	BIOUG03940-A09	Canada	51.407 N 116.154 W		Barcoding Canada Data Release JOURNAL   Unpublished
4277	JN310423.1	Erioptera caliptera	JN310423	Cluster 381	Erioptera	mitochondrion Erioptera caliptera		BIOUG<CAN>:TDWG-1257	USA	41.53 N 70.65 W		iBOL Data Release JOURNAL   Unpublished
4312	JF878018.1	Symplecta stictica	JF878018	Cluster 388	Symplecta	mitochondrion Symplecta stictica angularis		BIOUG<CAN>:10PROBE-14875	Canada	58.7541 N 93.9974 W		iBOL Data Release JOURNAL   Unpublished
4329	JF876058.1	Molophilus sp.	JF876058	Cluster 392	Molophilus	mitochondrion Molophilus sp. JWDCG475-10		BIOUG<CAN>:10PROBE-11870	Canada	58.731 N 93.78 W		iBOL Data Release JOURNAL   Unpublished
4406	MG895839.1	Amphineurus kandu	MG895839	Cluster 403	Amphineurus	mitochondrion Amphineurus kandu		T3607	Australia	37.963 S 145.724 E	Zac D Billingham	Ozeoura#a new genus of Chioneinae (Insecta: Diptera: Tipuloidea: Limoniidae) from Australia
4430	MG097698.1	Limoniidae sp.	MG097698	Cluster 406	Limoniidae	mitochondrion Limoniidae sp. BIOUG00904-F01	PRJNA472144	BIOUG00904-F01	Canada	44.621 N 75.773 W	Angela Telfer	BIOUG Archive GGBN Data Release JOURNAL   Unpublished
4651	MG095377.1	Limoniidae sp.	MG095377	Cluster 411	Limoniidae	mitochondrion Limoniidae sp. BIOUG21924-F08	PRJNA472144	BIOUG21924-F08	Canada	45.257 N 75.364 W		BIOUG Archive GGBN Data Release JOURNAL   Unpublished
4741	MG094378.1	Limoniidae sp.	MG094378	Cluster 594	Limoniidae	mitochondrion Limoniidae sp. BIOUG24125-E11	PRJNA472144	BIOUG24125-E11	Canada	43.132 N 80.371 W	Valerie Levesque-Beaudin	BIOUG Archive GGBN Data Release JOURNAL   Unpublished
5087	MG090477.1	Symplecta sp.	MG090477	Cluster 741	Symplecta	mitochondrion Symplecta sp. BIOUG13011-A06	PRJNA472144	BIOUG13011-A06	Canada	43.257 N 81.134 W	Angela Telfer	BIOUG Archive GGBN Data Release JOURNAL   Unpublished
5254	MG088735.1	Limoniidae sp.	MG088735	Cluster 605	Limoniidae	mitochondrion Limoniidae sp. BIOUG22283-A11	PRJNA472144	BIOUG22283-A11	Canada	53.616 N 132.016 W	Valerie Levesque-Beaudin	BIOUG Archive GGBN Data Release JOURNAL   Unpublished
5326	JN294754.1	Eriopterinae sp.	JN294754	Cluster 430	Eriopterinae	mitochondrion Eriopterinae sp. BBTIP176-10		BIOUG<CAN>:10BBTIP-0253	Canada	49.013 N 125.655 W		iBOL Data Release JOURNAL   Unpublished
5342	JN294719.1	Limoniidae sp.	JN294719	Cluster 437	Limoniidae	mitochondrion Limoniidae sp. BBTIP139-10		BIOUG<CAN>:10BBTIP-0216	Canada	52.85 N 118.11 W		iBOL Data Release JOURNAL   Unpublished
5345	JN294716.1	Limoniidae sp.	JN294716	Cluster 439	Limoniidae	mitochondrion Limoniidae sp. BBTIP136-10		BIOUG<CAN>:10BBTIP-0213	Canada	51.424 N 116.429 W		iBOL Data Release JOURNAL   Unpublished
5359	JN291714.1	Diptera sp.	JN291714	Cluster 444	Diptera	mitochondrion Erioptera caliptera		BIOUG<CAN>:PCPP10-0942	Canada	41.95 N 82.52 W		iBOL Data Release JOURNAL   Unpublished
5385	JF873484.1	Limoniidae sp.	JF873484	Cluster 451	Limoniidae	mitochondrion Limoniidae sp. JSDIP577-10		BIOUG<CAN>:10JSROW-0577	Canada	44.6213 N 76.273 W		iBOL Data Release JOURNAL   Unpublished
5393	JF867848.1	Limoniidae sp.	JF867848	Cluster 452	Limoniidae	mitochondrion Limoniidae sp. BBDCN272-10		BIOUG<CAN>:PCPP10-0367	Canada	41.9497 N 82.5168 W		iBOL Data Release JOURNAL   Unpublished
5399	JF867482.1	Limoniidae sp.	JF867482	Cluster 453	Limoniidae	mitochondrion Limoniidae sp. BBDCM888-10		BIOUG<CAN>:10BBCDIP-1603	Canada	48.9378 N 125.538 W		iBOL Data Release JOURNAL   Unpublished
5403	JF867237.1	Limoniidae sp.	JF867237	Cluster 454	Limoniidae	mitochondrion Limoniidae sp. BBDCM437-10		BIOUG<CAN>:10BBCDIP-1152	Canada	50.6133 N 101.271 W		iBOL Data Release JOURNAL   Unpublished
5444	HM416308.1	Erioptera septemtrionis	HM416308	Cluster 464	Erioptera	mitochondrion Erioptera septemtrionis		BIOUG<CAN>:09BBTEC-065	Canada	48.5429 N 53.9776 W		iBOL Data Release JOURNAL   Unpublished
5778	KR728308.1	Limoniidae sp.	KR728308	Cluster 648	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG13237-C09	Canada	46.808 N 60.733 W	Valerie Levesque-Beaudin	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
5818	KR725743.1	Limoniidae sp.	KR725743	Cluster 634	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG13908-G04	Canada	45.5897 N 64.985 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6153	KR778032.1	Symplecta cana	KR778032	Cluster 723	Symplecta	mitochondrion Symplecta cana	PRJNA472144	BIOUG16044-B11	Canada	42.771 N 81.182 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6332	KT705423.1	Erioptera venusta	KT705423	Cluster 591	Erioptera	mitochondrion Erioptera venusta	PRJNA472144	BIOUG24024-D03	Canada	43.38 N 80.348 W	Angela Telfer	Biodiversity inventories in high gear: DNA barcoding facilitates a rapid biotic survey of a temperate nature reserve
6352	KT620328.1	Erioptera ebenina	KT620328	Cluster 706	Erioptera	mitochondrion Erioptera ebenina	PRJNA472144	BIOUG20569-E10	Canada	43.374 N 80.354 W	Angela Telfer	Biodiversity inventories in high gear: DNA barcoding facilitates a rapid biotic survey of a temperate nature reserve
